"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
22	0.899756111394702	6	6	"Churn"	"Yes"	0.1
23	0.88759338654769	6	6	"Churn"	"Yes"	0.1
24	0.876361406073823	6	6	"Churn"	"Yes"	0.1
25	0.881589931697445	6	6	"Churn"	"Yes"	0.1
26	0.870106460513301	6	6	"Churn"	"Yes"	0.1
27	0.907809364548495	6	6	"Churn"	"Yes"	0.1
28	0.882678733031674	6	6	"Churn"	"Yes"	0.1
29	0.900914902998236	6	6	"Churn"	"Yes"	0.1
30	0.895384615384615	6	6	"Churn"	"Yes"	0.1
1	0.899661739378245	7	7	"Churn"	"Yes"	0.1
2	0.887576716842173	7	7	"Churn"	"Yes"	0.1
3	0.873171725890759	7	7	"Churn"	"Yes"	0.1
4	0.852422962072683	7	7	"Churn"	"Yes"	0.1
5	0.871656686626747	7	7	"Churn"	"Yes"	0.1
6	0.865476124605766	7	7	"Churn"	"Yes"	0.1
7	0.890779633378318	7	7	"Churn"	"Yes"	0.1
8	0.854121709106603	7	7	"Churn"	"Yes"	0.1
9	0.902645363077967	7	7	"Churn"	"Yes"	0.1
10	0.891149380668384	7	7	"Churn"	"Yes"	0.1
11	0.925459988563356	7	7	"Churn"	"Yes"	0.1
12	0.882682291666667	7	7	"Churn"	"Yes"	0.1
13	0.865847884331116	7	7	"Churn"	"Yes"	0.1
14	0.8780993604238	7	7	"Churn"	"Yes"	0.1
15	0.90138297471455	7	7	"Churn"	"Yes"	0.1
16	0.864440422322775	7	7	"Churn"	"Yes"	0.1
17	0.913994930388373	7	7	"Churn"	"Yes"	0.1
18	0.896107067554528	7	7	"Churn"	"Yes"	0.1
19	0.906733994046049	7	7	"Churn"	"Yes"	0.1
20	0.877644577769758	7	7	"Churn"	"Yes"	0.1
21	0.869839658493414	7	7	"Churn"	"Yes"	0.1
22	0.901295047166849	7	7	"Churn"	"Yes"	0.1
23	0.918453095523924	7	7	"Churn"	"Yes"	0.1
24	0.88917538998358	7	7	"Churn"	"Yes"	0.1
25	0.926417203652762	7	7	"Churn"	"Yes"	0.1
26	0.869945549242424	7	7	"Churn"	"Yes"	0.1
