"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"
14	0.895693424957051	14	14	"Churn"
15	0.921343474622163	14	14	"Churn"
16	0.87710650005732	14	14	"Churn"
17	0.878617274894553	14	14	"Churn"
18	0.947795298283173	14	14	"Churn"
19	0.907727494728817	14	14	"Churn"
20	0.899051896207585	14	14	"Churn"
21	0.907749909779863	14	14	"Churn"
22	0.909410887992867	14	14	"Churn"
23	0.914920058139535	14	14	"Churn"
24	0.883770401613791	14	14	"Churn"
25	0.930612913798755	14	14	"Churn"
26	0.915521370191056	14	14	"Churn"
27	0.866923341081995	14	14	"Churn"
28	0.930079636752891	14	14	"Churn"
29	0.906370940231264	14	14	"Churn"
30	0.877768060367542	14	14	"Churn"
1	0.925500721761097	15	15	"Churn"
2	0.901894945077828	15	15	"Churn"
3	0.942459753787879	15	15	"Churn"
4	0.89233993902439	15	15	"Churn"
5	0.932453194890158	15	15	"Churn"
6	0.8750249500998	15	15	"Churn"
7	0.926178930623974	15	15	"Churn"
8	0.932886409830007	15	15	"Churn"
9	0.891317904656319	15	15	"Churn"
10	0.894767492286914	15	15	"Churn"
11	0.914159181636726	15	15	"Churn"
12	0.891869125216401	14	15	"Churn"
13	0.895674300254453	15	15	"Churn"
14	0.909894313949146	15	15	"Churn"
15	0.927392556490917	15	15	"Churn"
16	0.933600361780477	15	15	"Churn"
17	0.929655850540806	15	15	"Churn"
18	0.913987396809892	15	15	"Churn"
19	0.909140271493213	15	15	"Churn"
20	0.904712301587302	15	15	"Churn"
21	0.878415734434367	15	15	"Churn"
22	0.8916802413273	15	15	"Churn"
23	0.904259461632187	15	15	"Churn"
24	0.88064496007984	15	15	"Churn"
25	0.933849469684079	15	15	"Churn"
26	0.893281079247843	15	15	"Churn"
27	0.916934094936003	15	15	"Churn"
28	0.90178740530303	15	15	"Churn"
29	0.895633510387609	15	15	"Churn"
30	0.927738610033826	15	15	"Churn"
1	0.886641323357948	16	16	"Churn"
2	0.901436272337912	15	16	"Churn"
3	0.914736152081285	16	16	"Churn"
4	0.911608329641116	16	16	"Churn"
5	0.896658471670877	16	16	"Churn"
6	0.890419161676647	15	16	"Churn"
7	0.93408803440425	16	16	"Churn"
8	0.891104403409091	16	16	"Churn"
9	0.902278039750848	16	16	"Churn"
10	0.923236268939394	16	16	"Churn"
11	0.903484695168227	16	16	"Churn"
12	0.923721094053634	16	16	"Churn"
13	0.911834939007893	15	16	"Churn"
14	0.916605029585799	15	16	"Churn"
15	0.895969370686558	16	16	"Churn"
16	0.92887179770929	16	16	"Churn"
17	0.930748798380976	16	16	"Churn"
18	0.901746090448014	16	16	"Churn"
19	0.905083582834331	16	16	"Churn"
20	0.908071618622701	16	16	"Churn"
21	0.916804314030315	16	16	"Churn"
22	0.878403325386637	16	16	"Churn"
23	0.898286393993086	16	16	"Churn"
24	0.9135216089003	15	16	"Churn"
25	0.91998899688245	15	16	"Churn"
26	0.887082066869301	14	16	"Churn"
27	0.886199123938327	16	16	"Churn"
28	0.924078556926441	16	16	"Churn"
29	0.900374251497006	16	16	"Churn"
30	0.878753332198968	16	16	"Churn"
1	0.915313210485988	17	17	"Churn"
2	0.909029550224037	17	17	"Churn"
3	0.872813835989118	16	17	"Churn"
4	0.89343910806175	15	17	"Churn"
5	0.861452244328846	15	17	"Churn"
6	0.895484138257576	16	17	"Churn"
7	0.900283492724471	15	17	"Churn"
8	0.884390538079063	14	17	"Churn"
9	0.884649451097804	16	17	"Churn"
10	0.910132834604134	17	17	"Churn"
11	0.921684451219512	17	17	"Churn"
12	0.919908929926638	17	17	"Churn"
13	0.929346266429432	17	17	"Churn"
14	0.910287309368192	17	17	"Churn"
15	0.946300278269669	17	17	"Churn"
16	0.903752234770854	16	17	"Churn"
17	0.922731532094331	16	17	"Churn"
18	0.909729644383988	16	17	"Churn"
19	0.885973011363636	15	17	"Churn"
20	0.913137564891744	17	17	"Churn"
21	0.877673476238431	17	17	"Churn"
22	0.910192778017551	17	17	"Churn"
23	0.902320551788637	16	17	"Churn"
24	0.904885420425839	16	17	"Churn"
25	0.917863570596746	15	17	"Churn"
26	0.906108253448679	17	17	"Churn"
27	0.869648566369878	15	17	"Churn"
28	0.897977905549454	17	17	"Churn"
29	0.911082584510056	16	17	"Churn"
30	0.902612603074896	16	17	"Churn"
1	0.908457623106061	18	18	"Churn"
2	0.889007349875517	18	18	"Churn"
3	0.898488076135672	18	18	"Churn"
4	0.900274451097804	17	18	"Churn"
5	0.897010172599651	16	18	"Churn"
6	0.892383419108166	17	18	"Churn"
7	0.933468686553178	16	18	"Churn"
8	0.914458582834331	17	18	"Churn"
9	0.907039448115041	17	18	"Churn"
10	0.913793885769383	18	18	"Churn"
11	0.910970345014175	17	18	"Churn"
12	0.892599386179447	17	18	"Churn"
13	0.917502787068004	17	18	"Churn"
14	0.907901421190231	15	18	"Churn"
15	0.889375158107766	15	18	"Churn"
16	0.930666666666667	15	18	"Churn"
17	0.929663269827204	16	18	"Churn"
18	0.890363496858965	18	18	"Churn"
19	0.901344400280571	16	18	"Churn"
20	0.898465676386087	17	18	"Churn"
21	0.877529612046228	17	18	"Churn"
22	0.911061219327093	16	18	"Churn"
23	0.902801767782053	15	18	"Churn"
24	0.917640250544662	17	18	"Churn"
25	0.923936390699778	17	18	"Churn"
26	0.912411221590909	17	18	"Churn"
