"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
24	0.900489027446665	5	5	"Churn"	"Yes"	0
25	0.909929373106303	5	5	"Churn"	"Yes"	0
26	0.934167567127935	5	5	"Churn"	"Yes"	0
27	0.938444979428586	5	5	"Churn"	"Yes"	0
28	0.898289864126191	5	5	"Churn"	"Yes"	0
29	0.910827219833038	5	5	"Churn"	"Yes"	0
30	0.950581836579813	5	5	"Churn"	"Yes"	0
1	0.890413841477671	6	6	"Churn"	"Yes"	0
2	0.916545408351811	6	6	"Churn"	"Yes"	0
3	0.930100391356134	6	6	"Churn"	"Yes"	0
4	0.911009230393056	6	6	"Churn"	"Yes"	0
5	0.890703944811504	6	6	"Churn"	"Yes"	0
6	0.926588235294118	6	6	"Churn"	"Yes"	0
7	0.893005571943625	6	6	"Churn"	"Yes"	0
8	0.921464490968801	6	6	"Churn"	"Yes"	0
9	0.93229193017961	6	6	"Churn"	"Yes"	0
10	0.934835515273582	6	6	"Churn"	"Yes"	0
11	0.91668734211476	6	6	"Churn"	"Yes"	0
12	0.920721075057358	6	6	"Churn"	"Yes"	0
13	0.917668290707232	6	6	"Churn"	"Yes"	0
14	0.928768041782828	6	6	"Churn"	"Yes"	0
15	0.946805722658344	6	6	"Churn"	"Yes"	0
16	0.947271529566762	6	6	"Churn"	"Yes"	0
17	0.932985143099128	6	6	"Churn"	"Yes"	0
18	0.925455339321357	6	6	"Churn"	"Yes"	0
19	0.938603758775564	6	6	"Churn"	"Yes"	0
20	0.900848303393214	6	6	"Churn"	"Yes"	0
21	0.920772247360483	6	6	"Churn"	"Yes"	0
22	0.916278974021162	6	6	"Churn"	"Yes"	0
23	0.943921066184321	6	6	"Churn"	"Yes"	0
24	0.933250473484848	6	6	"Churn"	"Yes"	0
25	0.946483180428135	6	6	"Churn"	"Yes"	0
26	0.949622926093514	6	6	"Churn"	"Yes"	0
27	0.92997509509708	6	6	"Churn"	"Yes"	0
28	0.920459191891657	6	6	"Churn"	"Yes"	0
29	0.918157435129741	6	6	"Churn"	"Yes"	0
30	0.928609913793103	6	6	"Churn"	"Yes"	0
1	0.944592065868263	7	7	"Churn"	"Yes"	0
2	0.911055004961626	7	7	"Churn"	"Yes"	0
3	0.938058014083597	7	7	"Churn"	"Yes"	0
4	0.910058698286104	7	7	"Churn"	"Yes"	0
5	0.89294542794116	7	7	"Churn"	"Yes"	0
6	0.923625557206538	7	7	"Churn"	"Yes"	0
7	0.90259427193939	7	7	"Churn"	"Yes"	0
8	0.93180862852994	7	7	"Churn"	"Yes"	0
9	0.895647217713457	7	7	"Churn"	"Yes"	0
10	0.937026515151515	7	7	"Churn"	"Yes"	0
11	0.867351305091998	7	7	"Churn"	"Yes"	0
12	0.915818950029118	7	7	"Churn"	"Yes"	0
13	0.927114803625378	7	7	"Churn"	"Yes"	0
14	0.958318939330768	7	7	"Churn"	"Yes"	0
15	0.928947209653092	7	7	"Churn"	"Yes"	0
16	0.918557598428439	7	7	"Churn"	"Yes"	0
17	0.936497720568517	7	7	"Churn"	"Yes"	0
18	0.935560679045384	7	7	"Churn"	"Yes"	0
19	0.9023598820059	7	7	"Churn"	"Yes"	0
20	0.942395152505447	7	7	"Churn"	"Yes"	0
21	0.929488355033926	7	7	"Churn"	"Yes"	0
22	0.92974587086622	7	7	"Churn"	"Yes"	0
23	0.905909990108803	7	7	"Churn"	"Yes"	0
24	0.913768322450345	7	7	"Churn"	"Yes"	0
25	0.936578795685264	7	7	"Churn"	"Yes"	0
26	0.909937068998003	7	7	"Churn"	"Yes"	0
27	0.950151037300225	7	7	"Churn"	"Yes"	0
28	0.941367597105302	7	7	"Churn"	"Yes"	0
29	0.923626077586207	7	7	"Churn"	"Yes"	0
30	0.927979582803076	7	7	"Churn"	"Yes"	0
1	0.928500139726137	8	8	"Churn"	"Yes"	0
2	0.938355718673538	8	8	"Churn"	"Yes"	0
