"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
22	0.928425667417897	7	7	"Churn"	0
23	0.898198100992663	7	7	"Churn"	0
24	0.921394710578842	7	7	"Churn"	0
25	0.937724609855757	7	7	"Churn"	0
26	0.906469994584749	7	7	"Churn"	0
27	0.948330651649236	7	7	"Churn"	0
28	0.93455977557186	7	7	"Churn"	0
29	0.949405785471359	7	7	"Churn"	0
30	0.886422288578725	7	7	"Churn"	0
1	0.910470409711684	8	8	"Churn"	0
2	0.940028719567672	8	8	"Churn"	0
3	0.923493212669683	8	8	"Churn"	0
4	0.928949866584565	8	8	"Churn"	0
5	0.876532284496886	8	8	"Churn"	0
6	0.928512528922365	8	8	"Churn"	0
7	0.932532549553051	8	8	"Churn"	0
8	0.93168783537636	8	8	"Churn"	0
9	0.939245745006454	8	8	"Churn"	0
10	0.935198801742919	8	8	"Churn"	0
11	0.894750236742424	8	8	"Churn"	0
12	0.913211560752544	8	8	"Churn"	0
13	0.913341121201844	8	8	"Churn"	0
14	0.92812896238377	8	8	"Churn"	0
15	0.952710123392984	8	8	"Churn"	0
16	0.908303995724261	8	8	"Churn"	0
17	0.921920655296779	8	8	"Churn"	0
18	0.935022671181771	8	8	"Churn"	0
19	0.925646132918772	8	8	"Churn"	0
20	0.924910668708525	8	8	"Churn"	0
21	0.913250029941315	8	8	"Churn"	0
22	0.944569791910217	8	8	"Churn"	0
23	0.947147331154684	8	8	"Churn"	0
24	0.920956093087241	8	8	"Churn"	0
25	0.897888086412677	8	8	"Churn"	0
26	0.924349691606329	8	8	"Churn"	0
27	0.938009658292072	8	8	"Churn"	0
28	0.932691063509428	8	8	"Churn"	0
29	0.871369853305932	8	8	"Churn"	0
30	0.9103515625	8	8	"Churn"	0
1	0.921583511465216	9	9	"Churn"	0
2	0.922698007583157	9	9	"Churn"	0
3	0.971627882763288	9	9	"Churn"	0
4	0.920361247947455	9	9	"Churn"	0
5	0.939238035846268	9	9	"Churn"	0
6	0.907664933929265	9	9	"Churn"	0
7	0.906982020305144	9	9	"Churn"	0
8	0.941055531158928	9	9	"Churn"	0
9	0.918371240092552	9	9	"Churn"	0
10	0.930440701037945	9	9	"Churn"	0
11	0.942652397281783	9	9	"Churn"	0
12	0.936331927742204	9	9	"Churn"	0
13	0.96412983678709	9	9	"Churn"	0
14	0.945853114659761	9	9	"Churn"	0
15	0.949610605038237	9	9	"Churn"	0
16	0.941436990507111	9	9	"Churn"	0
17	0.947221719457014	9	9	"Churn"	0
18	0.919480342473391	9	9	"Churn"	0
19	0.931688133445946	9	9	"Churn"	0
20	0.953615786697358	9	9	"Churn"	0
21	0.960814561568609	9	9	"Churn"	0
22	0.929743066190233	9	9	"Churn"	0
23	0.887470931881345	9	9	"Churn"	0
24	0.912660318586425	9	9	"Churn"	0
25	0.950914902998236	9	9	"Churn"	0
26	0.934801136363636	9	9	"Churn"	0
27	0.93043890715912	9	9	"Churn"	0
28	0.951732861118138	9	9	"Churn"	0
29	0.927410261811243	9	9	"Churn"	0
30	0.924924924924925	9	9	"Churn"	0
1	0.935684880239521	10	10	"Churn"	0
2	0.941852419034655	10	10	"Churn"	0
3	0.885309590227623	10	10	"Churn"	0
4	0.88727495908347	10	10	"Churn"	0
5	0.948368327852264	10	10	"Churn"	0
6	0.923867100886918	10	10	"Churn"	0
7	0.897762345679012	10	10	"Churn"	0
8	0.948452949446362	10	10	"Churn"	0
9	0.94176290147961	10	10	"Churn"	0
10	0.932028684318555	10	10	"Churn"	0
11	0.919037570185025	10	10	"Churn"	0
12	0.886276667277951	10	10	"Churn"	0
13	0.92999987609501	10	10	"Churn"	0
14	0.885886333043468	10	10	"Churn"	0
15	0.954811463046757	10	10	"Churn"	0
16	0.920579710144928	10	10	"Churn"	0
17	0.945266541725233	10	10	"Churn"	0
18	0.92992167407061	10	10	"Churn"	0
19	0.914348849222292	10	10	"Churn"	0
20	0.899563725651397	10	10	"Churn"	0
21	0.959404148853478	10	10	"Churn"	0
22	0.925586726998492	10	10	"Churn"	0
23	0.913194444444444	10	10	"Churn"	0
24	0.94468085106383	10	10	"Churn"	0
25	0.928682487725041	10	10	"Churn"	0
26	0.957017371353655	10	10	"Churn"	0
27	0.93280165411313	10	10	"Churn"	0
28	0.93189870259481	10	10	"Churn"	0
29	0.927235787891526	10	10	"Churn"	0
30	0.896734109386548	10	10	"Churn"	0
1	0.933754393171756	11	11	"Churn"	0
2	0.923539306677959	11	11	"Churn"	0
3	0.901030128489145	11	11	"Churn"	0
4	0.906332859848485	11	11	"Churn"	0
5	0.903897435897436	11	11	"Churn"	0
6	0.93619061062686	11	11	"Churn"	0
